Kanton;Wahljahr;Total;FDP;CVP;SP;SVP;LPS;LdU;EVP;CSP;GLP;BDP;GPS;DSP;PdA;PSA;POCH;FGA;Sol.;SD;Rep.;EDU;FPS;Lega;MCR;LS;weitere;kleine Linksparteien;kleine Rechtsparteien
Nidwalden;2002;60;19;24;2;7;NA;NA;NA;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0
Nidwalden;2006;60;18;23;1;10;NA;NA;NA;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0
Nidwalden;2010;60;17;18;1;19;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Nidwalden;2014;60;15;17;3;17;NA;NA;NA;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Nidwalden;2018;60;17;16;3;15;NA;NA;NA;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0
Obwalden;1970;45;8;36;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0
Obwalden;1974;51;15;34;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0
Obwalden;1978;51;13;33;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;0;0
Obwalden;1982;52;14;33;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;0;0
Obwalden;1986;52;12;33;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;0;0
Obwalden;1990;55;14;35;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;0;0
Obwalden;1994;55;14;37;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;0;0
Obwalden;1998;55;13;35;6;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0
Obwalden;2002;55;11;29;8;7;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Obwalden;2006;55;10;23;6;6;NA;NA;NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Obwalden;2010;55;10;20;6;11;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Obwalden;2014;55;10;19;6;13;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Obwalden;2018;55;8;16;8;15;NA;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Schaffhausen;1968;80;19;7;27;18;NA;5;1;NA;0;NA;0;NA;NA;NA;0;0;NA;0;NA;0;0;NA;NA;1;2;0;1
Schaffhausen;1972;80;19;7;27;17;NA;4;2;NA;0;NA;0;NA;NA;NA;0;0;NA;1;NA;0;0;NA;NA;1;2;0;2
Schaffhausen;1976;80;19;7;25;16;NA;6;3;NA;0;NA;0;NA;NA;NA;2;0;NA;0;NA;0;0;NA;NA;0;2;2;0
Schaffhausen;1980;80;20;7;26;16;NA;5;3;NA;0;NA;0;NA;NA;NA;2;0;NA;0;NA;0;0;NA;NA;0;1;2;0
Schaffhausen;1984;80;20;7;25;18;NA;4;2;NA;0;NA;0;NA;NA;NA;2;0;NA;0;NA;0;0;NA;NA;0;2;2;0
Schaffhausen;1988;80;15;6;26;17;NA;2;2;NA;0;NA;0;NA;NA;NA;0;1;NA;0;NA;0;8;NA;NA;0;3;1;8
Schaffhausen;1992;80;17;5;20;19;NA;0;1;NA;0;NA;0;NA;NA;NA;0;1;NA;0;NA;0;7;NA;NA;0;10;1;7
Schaffhausen;1996;80;17;4;23;23;NA;0;2;NA;0;NA;4;NA;NA;NA;0;0;NA;0;NA;0;3;NA;NA;0;4;0;3
Schaffhausen;2000;80;16;5;21;27;NA;0;2;NA;0;NA;6;NA;NA;NA;0;0;NA;0;NA;0;0;NA;NA;0;3;0;0
Schaffhausen;2004;80;14;3;24;30;NA;0;1;NA;0;NA;6;NA;NA;NA;0;1;NA;0;NA;0;0;NA;NA;0;1;1;0
Schaffhausen;2008;60;14;3;14;19;NA;0;1;NA;0;NA;5;NA;NA;NA;0;3;NA;0;NA;1;0;NA;NA;0;0;3;1
Schaffhausen;2012;60;11;3;14;20;NA;0;1;NA;0;NA;4;NA;NA;NA;0;5;NA;0;NA;2;0;NA;NA;0;0;5;2
Schaffhausen;2016;60;10;2;14;21;NA;0;1;NA;4;NA;2;NA;NA;NA;0;4;NA;0;NA;2;0;NA;NA;0;0;4;2
Schwyz;1968;100;32;54;14;0;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Schwyz;1972;100;27;55;15;2;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0
Schwyz;1976;100;29;52;16;1;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0
Schwyz;1980;100;29;53;14;3;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0
Schwyz;1984;100;25;55;14;4;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;0;2;0
Schwyz;1988;100;30;49;13;4;NA;NA;NA;NA;0;NA;4;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Schwyz;1992;100;34;48;11;5;NA;NA;NA;NA;0;NA;2;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Schwyz;1996;100;29;46;11;12;NA;NA;NA;NA;0;NA;1;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0
Schwyz;2000;100;26;43;11;20;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Schwyz;2004;100;24;34;15;27;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Schwyz;2008;100;21;29;9;41;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Schwyz;2012;100;23;29;10;35;NA;NA;NA;NA;0;NA;1;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0
Schwyz;2016;100;22;27;13;33;NA;NA;NA;NA;3;NA;1;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0
Solothurn;1969;144;66;36;36;0;NA;6;0;NA;0;0;0;NA;NA;NA;0;0;NA;NA;NA;NA;0;NA;NA;NA;0;0;0
Solothurn;1973;144;65;40;37;0;NA;1;0;NA;0;0;0;NA;NA;NA;1;0;NA;NA;NA;NA;0;NA;NA;NA;0;1;0
Solothurn;1977;144;65;41;37;0;NA;0;0;NA;0;0;0;NA;NA;NA;1;0;NA;NA;NA;NA;0;NA;NA;NA;0;1;0
Solothurn;1981;144;66;45;33;0;NA;0;0;NA;0;0;0;NA;NA;NA;0;0;NA;NA;NA;NA;0;NA;NA;NA;0;0;0
Solothurn;1985;144;64;44;32;0;NA;0;0;NA;0;0;0;NA;NA;NA;0;4;NA;NA;NA;NA;0;NA;NA;NA;0;4;0
Solothurn;1989;144;53;42;33;0;NA;0;0;NA;0;0;0;NA;NA;NA;0;9;NA;NA;NA;NA;7;NA;NA;NA;0;9;7
Solothurn;1993;144;54;39;36;0;NA;0;0;NA;0;0;8;NA;NA;NA;0;0;NA;NA;NA;NA;7;NA;NA;NA;0;0;7
Solothurn;1997;144;54;36;37;7;NA;0;0;NA;0;0;6;NA;NA;NA;0;0;NA;NA;NA;NA;4;NA;NA;NA;0;0;4
Solothurn;2001;144;53;32;37;21;NA;0;0;NA;0;0;1;NA;NA;NA;0;0;NA;NA;NA;NA;0;NA;NA;NA;0;0;0
Solothurn;2005;100;30;23;25;17;NA;0;1;NA;0;0;4;NA;NA;NA;0;0;NA;NA;NA;NA;0;NA;NA;NA;0;0;0
Solothurn;2009;100;27;25;21;18;NA;0;1;NA;2;0;6;NA;NA;NA;0;0;NA;NA;NA;NA;0;NA;NA;NA;0;0;0
Solothurn;2013;100;26;22;19;19;NA;0;1;NA;4;2;7;NA;NA;NA;0;0;NA;NA;NA;NA;0;NA;NA;NA;0;0;0
Solothurn;2017;100;26;20;23;18;NA;0;1;NA;3;2;7;NA;NA;NA;0;0;NA;NA;NA;NA;0;NA;NA;NA;0;0;0
St. Gallen;1968;204;65;96;29;0;NA;14;0;NA;0;0;0;NA;NA;NA;NA;0;NA;0;0;NA;0;NA;NA;NA;0;0;0
St. Gallen;1972;180;52;92;21;0;NA;7;1;NA;0;0;0;NA;NA;NA;NA;0;NA;0;7;NA;0;NA;NA;NA;0;0;7
St. Gallen;1976;180;52;91;28;0;NA;7;1;NA;0;0;0;NA;NA;NA;NA;0;NA;0;1;NA;0;NA;NA;NA;0;0;1
St. Gallen;1980;180;53;94;27;0;NA;6;0;NA;0;0;0;NA;NA;NA;NA;0;NA;0;0;NA;0;NA;NA;NA;0;0;0
St. Gallen;1984;180;52;88;24;0;NA;13;2;NA;0;0;0;NA;NA;NA;NA;1;NA;0;0;NA;0;NA;NA;NA;0;1;0
St. Gallen;1988;180;50;81;24;0;NA;11;2;NA;0;0;0;NA;NA;NA;NA;3;NA;0;0;NA;7;NA;NA;NA;2;3;7
St. Gallen;1992;180;45;69;30;0;NA;9;2;NA;0;0;3;NA;NA;NA;NA;0;NA;1;0;NA;19;NA;NA;NA;2;0;20
St. Gallen;1996;180;44;66;34;14;NA;7;2;NA;0;0;3;NA;NA;NA;NA;0;NA;0;0;NA;10;NA;NA;NA;0;0;10
St. Gallen;2000;180;40;62;27;42;NA;3;2;NA;0;0;3;NA;NA;NA;NA;0;NA;0;0;NA;0;NA;NA;NA;1;0;0
St. Gallen;2004;180;32;55;35;45;NA;0;2;NA;0;0;10;NA;NA;NA;NA;0;NA;0;0;NA;0;NA;NA;NA;1;0;0
St. Gallen;2008;120;23;33;16;41;NA;0;2;NA;1;0;4;NA;NA;NA;NA;0;NA;0;0;NA;0;NA;NA;NA;0;0;0
St. Gallen;2012;120;22;29;20;35;NA;0;2;NA;5;2;5;NA;NA;NA;NA;0;NA;0;0;NA;0;NA;NA;NA;0;0;0
St. Gallen;2016;120;26;26;20;40;NA;0;0;NA;2;0;5;NA;NA;NA;NA;0;NA;0;0;NA;0;NA;NA;NA;1;0;0
Tessin;1971;90;35;31;12;3;NA;NA;NA;NA;NA;NA;0;NA;2;6;NA;NA;NA;NA;NA;NA;NA;0;NA;0;1;8;0
Tessin;1975;90;35;31;12;3;NA;NA;NA;NA;NA;NA;0;NA;3;6;NA;NA;NA;NA;NA;NA;NA;0;NA;0;0;9;0
Tessin;1979;90;35;30;12;3;NA;NA;NA;NA;NA;NA;0;NA;2;8;NA;NA;NA;NA;NA;NA;NA;0;NA;0;0;10;0
Tessin;1983;90;35;30;12;3;NA;NA;NA;NA;NA;NA;0;NA;2;8;NA;NA;NA;NA;NA;NA;NA;0;NA;0;0;10;0
Tessin;1987;90;33;28;11;2;NA;NA;NA;NA;NA;NA;2;NA;2;7;NA;NA;NA;NA;NA;NA;NA;0;NA;0;5;9;0
Tessin;1991;90;29;27;9;2;NA;NA;NA;NA;NA;NA;1;NA;0;9;NA;NA;NA;NA;NA;NA;NA;12;NA;0;1;9;12
Tessin;1995;90;30;25;15;1;NA;NA;NA;NA;NA;NA;1;NA;1;0;NA;NA;NA;NA;NA;NA;NA;16;NA;0;1;1;16
Tessin;1999;90;29;23;15;3;NA;NA;NA;NA;NA;NA;2;NA;0;0;NA;NA;NA;NA;NA;NA;NA;16;NA;2;0;0;18
Tessin;2003;90;30;24;16;6;NA;NA;NA;NA;NA;NA;2;NA;1;0;NA;NA;NA;NA;NA;NA;NA;11;NA;0;0;1;11
Tessin;2007;90;27;21;18;5;NA;NA;NA;NA;NA;NA;4;NA;0;0;NA;NA;NA;NA;NA;NA;NA;15;NA;0;0;0;15
Tessin;2011;90;23;19;14;5;NA;NA;NA;NA;NA;NA;7;NA;0;0;NA;NA;NA;NA;NA;NA;NA;21;NA;0;1;0;21
Tessin;2015;90;24;17;13;3;NA;NA;NA;NA;NA;NA;6;NA;0;0;NA;NA;NA;NA;NA;NA;NA;22;NA;0;5;0;22
Thurgau;1968;129;27;32;28;34;NA;0;8;NA;0;0;0;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0
Thurgau;1972;130;27;34;22;34;NA;1;7;NA;0;0;0;NA;NA;NA;NA;NA;NA;1;4;0;0;NA;NA;NA;NA;0;5
Thurgau;1976;130;24;32;25;39;NA;1;7;NA;0;0;0;NA;NA;NA;NA;NA;NA;1;1;0;0;NA;NA;NA;NA;0;2
Thurgau;1980;130;26;31;27;37;NA;1;8;NA;0;0;0;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0
Thurgau;1984;130;25;31;21;37;NA;2;7;NA;0;0;6;NA;NA;NA;NA;NA;NA;1;0;0;0;NA;NA;NA;NA;0;1
Thurgau;1988;130;23;27;20;33;NA;0;6;NA;0;0;11;NA;NA;NA;NA;NA;NA;0;0;0;10;NA;NA;NA;NA;0;10
Thurgau;1992;130;23;26;23;32;NA;0;6;NA;0;0;10;NA;NA;NA;NA;NA;NA;0;0;0;10;NA;NA;NA;NA;0;10
Thurgau;1996;130;25;25;20;38;NA;0;4;NA;0;0;11;NA;NA;NA;NA;NA;NA;0;0;0;7;NA;NA;NA;NA;0;7
Thurgau;2000;130;24;27;22;42;NA;0;5;NA;0;0;8;NA;NA;NA;NA;NA;NA;0;0;1;1;NA;NA;NA;NA;0;2
Thurgau;2004;130;20;22;23;47;NA;0;4;NA;0;0;13;NA;NA;NA;NA;NA;NA;0;0;1;0;NA;NA;NA;NA;0;1
Thurgau;2008;130;18;22;17;51;NA;0;6;NA;2;0;11;NA;NA;NA;NA;NA;NA;0;0;3;0;NA;NA;NA;NA;0;3
Thurgau;2012;130;18;21;19;41;NA;0;5;NA;6;5;9;NA;NA;NA;NA;NA;NA;0;0;6;0;NA;NA;NA;NA;0;6
Thurgau;2016;130;20;20;17;44;NA;0;5;NA;7;3;9;NA;NA;NA;NA;NA;NA;0;0;5;0;NA;NA;NA;NA;0;5
Uri;1968;61;16;41;4;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Uri;1972;64;16;43;5;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Uri;1976;64;18;41;5;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Uri;1980;64;19;40;5;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Uri;1984;64;17;41;6;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Uri;1988;64;17;41;6;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Uri;1992;64;17;36;7;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;1;3;0
Uri;1996;64;19;37;8;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Uri;2000;64;21;29;9;4;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Uri;2004;64;15;29;8;9;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0
Uri;2008;64;11;24;7;18;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0
Uri;2012;64;15;23;9;14;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0
Uri;2016;64;18;22;8;15;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Waadt;1970;197;74;7;53;15;32;NA;NA;NA;0;NA;0;NA;16;NA;NA;0;0;0;NA;0;NA;NA;NA;NA;0;16;0
Waadt;1974;200;70;8;53;14;34;NA;NA;NA;0;NA;0;NA;16;NA;NA;0;0;5;NA;0;NA;NA;NA;NA;0;16;5
Waadt;1978;200;67;7;60;14;37;NA;NA;NA;0;NA;4;NA;11;NA;NA;0;0;0;NA;0;NA;NA;NA;NA;0;11;0
Waadt;1982;200;68;5;53;15;47;NA;NA;NA;0;NA;6;NA;6;NA;NA;0;0;0;NA;0;NA;NA;NA;NA;0;6;0
Waadt;1986;200;70;5;52;13;45;NA;NA;NA;0;NA;5;NA;3;NA;NA;1;0;6;NA;0;NA;NA;NA;NA;0;4;6
Waadt;1990;200;71;4;52;15;42;NA;NA;NA;0;NA;12;NA;4;NA;NA;0;0;0;NA;0;NA;NA;NA;NA;0;4;0
Waadt;1994;200;68;2;55;17;41;NA;NA;NA;0;NA;10;NA;7;NA;NA;0;0;0;NA;0;NA;NA;NA;NA;0;7;0
Waadt;1998;180;54;3;46;14;35;NA;NA;NA;0;NA;16;NA;12;NA;NA;0;0;0;NA;0;NA;NA;NA;NA;0;12;0
Waadt;2002;180;44;2;46;22;31;NA;NA;NA;0;NA;21;NA;12;NA;NA;0;0;0;NA;0;NA;NA;NA;NA;2;12;0
Waadt;2007;150;29;3;39;26;22;NA;NA;NA;0;NA;24;NA;4;NA;NA;0;1;0;NA;1;NA;NA;NA;NA;1;5;1
Waadt;2012;150;38;4;41;27;9;NA;NA;NA;7;NA;19;NA;2;NA;NA;0;2;0;NA;0;NA;NA;NA;NA;1;4;0
Waadt;2017;150;49;2;37;25;0;NA;NA;NA;7;NA;21;NA;2;NA;NA;0;2;0;NA;0;NA;NA;NA;NA;5;4;0
Wallis;1969;130;26;84;13;0;0;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;0;0
Wallis;1973;130;26;83;10;0;0;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11;0;0
Wallis;1977;130;25;83;15;0;0;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;0;0
Wallis;1981;130;30;80;11;0;0;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;0;0
Wallis;1985;130;32;80;12;0;3;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;0;0
Wallis;1989;130;32;79;14;0;3;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0
Wallis;1993;130;34;75;16;0;5;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Wallis;1997;130;34;71;21;0;4;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Wallis;2001;130;32;75;18;2;3;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Wallis;2005;130;27;73;18;6;3;NA;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Wallis;2009;130;28;68;17;12;0;NA;NA;3;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
Wallis;2013;130;28;61;14;21;0;NA;NA;3;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0
Wallis;2017;130;26;55;13;23;0;NA;NA;4;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0
Zug;1970;78;25;41;8;0;NA;1;NA;NA;0;NA;0;NA;NA;NA;NA;0;NA;3;NA;NA;NA;NA;NA;NA;0;0;3
Zug;1974;80;24;44;7;0;NA;3;NA;NA;0;NA;0;NA;NA;NA;NA;0;NA;2;NA;NA;NA;NA;NA;NA;0;0;2
Zug;1978;80;23;43;10;0;NA;1;NA;NA;0;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;3;0;0
Zug;1982;80;29;40;10;0;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;1;0;0
Zug;1986;80;29;38;10;0;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;2;NA;0;NA;NA;NA;NA;NA;NA;1;2;0
Zug;1990;80;25;36;12;0;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;4;NA;0;NA;NA;NA;NA;NA;NA;3;4;0
Zug;1994;80;28;33;9;3;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;3;NA;0;NA;NA;NA;NA;NA;NA;4;3;0
Zug;1998;80;27;27;9;9;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;3;NA;0;NA;NA;NA;NA;NA;NA;5;3;0
Zug;2002;80;20;25;9;18;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;5;NA;0;NA;NA;NA;NA;NA;NA;3;5;0
Zug;2006;80;20;23;8;17;NA;0;NA;NA;0;NA;0;NA;NA;NA;NA;10;NA;0;NA;NA;NA;NA;NA;NA;2;10;0
Zug;2010;80;20;23;8;19;NA;0;NA;NA;2;NA;7;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;1;0;0
Zug;2014;80;18;22;7;19;NA;0;NA;NA;4;NA;9;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;1;0;0
Zug;2018;80;17;21;9;18;NA;0;NA;NA;4;NA;10;NA;NA;NA;NA;0;NA;0;NA;NA;Na;NA;NA;NA;1;0;0
Zürich;1971;180;37;17;43;33;NA;26;11;NA;0;0;0;NA;NA;NA;0;0;NA;10;NA;0;0;NA;NA;NA;3;0;10
Zürich;1975;180;43;20;42;32;NA;20;13;NA;0;0;0;NA;NA;NA;2;0;NA;7;NA;0;0;NA;NA;NA;1;2;7
Zürich;1979;180;51;21;49;32;NA;14;12;NA;0;0;0;NA;NA;NA;1;0;NA;0;NA;0;0;NA;NA;NA;0;1;0
Zürich;1983;180;52;23;35;35;NA;12;14;NA;0;0;4;NA;NA;NA;3;0;NA;2;NA;0;0;NA;NA;NA;0;3;2
Zürich;1987;180;46;17;34;31;NA;10;11;NA;0;0;21;NA;NA;NA;0;3;NA;6;NA;0;0;NA;NA;NA;1;3;6
Zürich;1991;180;50;13;43;37;NA;2;7;NA;0;0;20;NA;NA;NA;0;2;NA;4;NA;0;2;NA;NA;NA;0;2;6
Zürich;1995;180;46;11;45;40;NA;6;9;NA;0;0;16;NA;NA;NA;0;1;NA;3;NA;0;3;NA;NA;NA;0;1;6
Zürich;1999;180;35;13;43;60;NA;2;9;NA;0;0;11;NA;NA;NA;0;1;NA;2;NA;1;0;NA;NA;NA;3;1;3
Zürich;2003;180;29;12;53;61;NA;0;9;NA;0;0;14;NA;NA;NA;0;0;NA;1;NA;1;0;NA;NA;NA;0;0;2
Zürich;2007;180;29;13;36;56;NA;0;10;NA;10;0;19;NA;NA;NA;0;2;NA;0;NA;5;0;NA;NA;NA;0;2;5
Zürich;2011;180;23;9;35;54;NA;0;7;NA;19;6;19;NA;NA;NA;0;3;NA;0;NA;5;0;NA;NA;NA;0;3;5
Zürich;2015;180;31;9;36;54;NA;0;8;NA;14;5;13;NA;NA;NA;0;5;NA;0;NA;5;0;NA;NA;NA;0;5;5
